35,35
88,53
140,52
185,45
190,5
229,39
267,38
340,73
349,9
351,2
352,1
396,44
397,1
431,34
467,36
502,35
537,35
572,35
573,1
585,12
586,1
618,32
670,52
765,95
771,6
839,68
862,23
894,32
933,39
1010,77
1059,49
1099,40
1138,39
1385,247
1454,69
1464,10
1517,53
1568,51
1583,15
1630,47
1655,25
1702,47
1905,203
1916,11
1971,55
2050,79
2388,338
2441,53
2471,30
2488,17
2570,82
2578,8
2612,34
2730,118
2809,79
2870,61
2890,20
2945,55
2948,3
2974,26
2984,10
3009,25
3092,83
3165,73
3273,108
3341,68
3374,33
3482,108
3527,45
3651,124
3696,45
3721,25
3756,35
3767,11
3803,36
3823,20
3856,33
3886,30
3949,63
4017,68
4124,107
4175,51
4264,89
4304,40
4342,38
4397,55
4511,114
4542,31
4593,51
4605,12
4662,57
4711,49
4731,20
4802,71
4807,5
4859,52
4874,15
4956,82
5061,105
5105,44
5157,52
5209,52
5216,7
5287,71
5307,20
5360,53
5433,73
5724,291
5737,13
5934,197
6001,67
6017,16
6311,294
6619,308
6630,11
6661,31
6789,128
6800,11
6901,101
6909,8
6974,65
7191,217
7293,102
7500,207
7764,264
7841,77
7846,5
7847,1
7867,20
7976,109
8166,190
8895,729
9243,348
9267,24
9545,278
9627,82
9678,51
9742,64
9820,78
9843,23
9866,23
9922,56
9977,55
10011,34
10097,86
10216,119
10227,11
10665,438
10691,26
10806,115
11021,215
11176,155
11201,25
11290,89
11341,51
11360,19
11399,39
11487,88
11667,180
11734,67
11791,57
12185,394
12388,203
12394,6
12955,561
13437,482
13484,47
13887,403
14173,286
14571,398
14640,69
14675,35
14684,9
16297,1613
16359,62
16417,58
16792,375
16878,86
17909,1031
18005,96
18671,666
18798,127
19157,359
19178,21
19232,54
19372,140
19512,140
19835,323
19837,2
20527,690
20573,46
21030,457
22415,1385
22480,65
22505,25
22620,115
22704,84
23253,549
23505,252
23517,12
23668,151
23749,81
23841,92
23952,111
24207,255
24371,164
24440,69
24441,1
25039,598
25788,749
27431,1643
28143,712
29037,894
30176,1139
30238,62
31737,1499
33383,1646
33780,397
33837,57
33984,147
34018,34
34684,666
35583,899
35768,185
36485,717
37041,556
37855,814
38057,202
38630,573
38995,365
39560,565
39688,128
44229,4541
46409,2180
47069,660
48086,1017
49490,1404
50115,625
50367,252
50817,450
53830,3013
54429,599
54535,106
55015,480
57904,2889
58271,367
58636,365
60379,1743
60393,14
60417,24
60645,228
60655,10
60916,261
62325,1409
62546,221
62923,377
63994,1071
64173,179
65973,1800
68244,2271
68760,516
68871,111
70886,2015
72271,1385
72982,711
74255,1273
74880,625
76412,1532
77679,1267
78433,754
79746,1313
82464,2718
83384,920
85168,1784
85231,63
85831,600
85875,44
89883,4008
92848,2965
93298,450
93445,147
93492,47
93722,230
93723,1
94440,717
94536,96
97188,2652
97494,306
98550,1056
99025,475
